,total_day_minutes,total_day_charge,total_eve_minutes,total_eve_charge,total_night_minutes,total_night_charge,total_intl_minutes,total_intl_charge,TARGET
0,265.1,45.07,197.4,16.78,244.7,11.01,10.0,2.7,0
1,161.6,27.47,195.5,16.62,254.4,11.45,13.7,3.7,0
2,243.4,41.38,121.2,10.3,162.6,7.32,12.2,3.29,0
3,299.4,50.9,61.9,5.26,196.9,8.86,6.6,1.78,0
4,166.7,28.34,148.3,12.61,186.9,8.41,10.1,2.73,0
5,223.4,37.98,220.6,18.75,203.9,9.18,6.3,1.7,0
6,218.2,37.09,348.5,29.62,212.6,9.57,7.5,2.03,0
7,157.0,26.69,103.1,8.76,211.8,9.53,7.1,1.92,0
8,184.5,31.37,351.6,29.89,215.8,9.71,8.7,2.35,0
9,258.6,43.96,222.0,18.87,326.4,14.69,11.2,3.02,0
10,129.1,21.95,228.5,19.42,208.8,9.4,12.7,3.43,1
11,187.7,31.91,163.4,13.89,196.0,8.82,9.1,2.46,0
12,128.8,21.9,104.9,8.92,141.1,6.35,11.2,3.02,0
13,156.6,26.62,247.6,21.05,192.3,8.65,12.3,3.32,0
14,120.7,20.52,307.2,26.11,203.0,9.14,13.1,3.54,0
15,332.9,56.59,317.8,27.01,160.6,7.23,5.4,1.46,1
16,196.4,33.39,280.9,23.88,89.3,4.02,13.8,3.73,0
17,190.7,32.42,218.2,18.55,129.6,5.83,8.1,2.19,0
18,189.7,32.25,212.8,18.09,165.7,7.46,10.0,2.7,0
19,224.4,38.15,159.5,13.56,192.8,8.68,13.0,3.51,0
20,155.1,26.37,239.7,20.37,208.8,9.4,10.6,2.86,0
21,62.4,10.61,169.9,14.44,209.6,9.43,5.7,1.54,1
22,183.0,31.11,72.9,6.2,181.8,8.18,9.5,2.57,0
23,110.4,18.77,137.3,11.67,189.6,8.53,7.7,2.08,0
24,81.1,13.79,245.2,20.84,237.0,10.67,10.3,2.78,0
25,124.3,21.13,277.1,23.55,250.7,11.28,15.5,4.19,0
26,213.0,36.21,191.1,16.24,182.7,8.22,9.5,2.57,0
27,134.3,22.83,155.5,13.22,102.1,4.59,14.7,3.97,0
28,190.0,32.3,258.2,21.95,181.5,8.17,6.3,1.7,0
29,119.3,20.28,215.1,18.28,178.7,8.04,11.1,3.0,0
30,84.8,14.42,136.7,11.62,250.5,11.27,14.2,3.83,0
31,226.1,38.44,201.5,17.13,246.2,11.08,10.3,2.78,0
32,212.0,36.04,31.2,2.65,293.3,13.2,12.6,3.4,0
33,249.6,42.43,252.4,21.45,280.2,12.61,11.8,3.19,1
34,176.8,30.06,195.0,16.58,213.5,9.61,8.3,2.24,0
35,220.0,37.4,217.3,18.47,152.8,6.88,14.7,3.97,0
